42/BTC ; 16.6667 ; 0.134466 ; 
AC/BTC ; 1.86e-006 ; 1.01837e+006 ; 
ALF/BTC ; 1.02e-006 ; 307874 ; 
AMC/BTC ; 2.7e-006 ; 20935.4 ; 
ANC/BTC ; 0.0015 ; 12845 ; 
ARG/BTC ; 3e-005 ; 3822.9 ; 
AUR/BTC ; 0.000385 ; 12125.1 ; 
BC/BTC ; 0.00032835 ; 1.73233e+006 ; 
BCX/BTC ; 5.17e-006 ; 1581.28 ; 
BEN/BTC ; 6.77e-006 ; 1285.85 ; 
BET/BTC ; 4.14e-006 ; 97009.6 ; 
BQC/BTC ; 5.03e-006 ; 10910.7 ; 
BTB/BTC ; 0.0174591 ; 41.0474 ; 
BTE/BTC ; 1.4e-005 ; 11119.8 ; 
BTG/BTC ; 0.00130241 ; 151.305 ; 
BUK/BTC ; 0.00015044 ; 467.758 ; 
CACH/BTC ; 0.0008043 ; 527.814 ; 
CAP/BTC ; 6.849e-005 ; 63216.3 ; 
CASH/BTC ; 8.11e-006 ; 47592.6 ; 
CAT/BTC ; 3.333e-005 ; 1339.81 ; 
CGB/BTC ; 0.00034399 ; 2960.14 ; 
CINNI/BTC ; 7.52e-005 ; 269690 ; 
CLR/BTC ; 4.7e-005 ; 713.766 ; 
CMC/BTC ; 2.163e-005 ; 1234.37 ; 
CNC/BTC ; 1.69e-006 ; 165247 ; 
COMM/BTC ; 3.4e-007 ; 959078 ; 
CRC/BTC ; 3.6e-005 ; 4272.95 ; 
CSC/BTC ; 3.49e-006 ; 257280 ; 
DEM/BTC ; 1.016e-005 ; 37214.8 ; 
DGB/BTC ; 3.8e-007 ; 2.37601e+007 ; 
DGC/BTC ; 3.24e-005 ; 45573.2 ; 
DIME/BTC ; 1e-008 ; 169676 ; 
DMD/BTC ; 0.00030403 ; 1226.39 ; 
DOGE/BTC ; 6.3e-007 ; 1.13504e+009 ; 
DRK/BTC ; 0.02022 ; 85354.3 ; 
DVC/BTC ; 1.3e-007 ; 2.18243e+007 ; 
EAC/BTC ; 3e-008 ; 2.17431e+007 ; 
ELC/BTC ; 0.0001852 ; 220.485 ; 
EMC2/BTC ; 7.4e-007 ; 631000 ; 
EMD/BTC ; 2.2e-006 ; 21668.5 ; 
EXE/BTC ; 2.5e-005 ; 81216.2 ; 
EZC/BTC ; 1.71e-006 ; 9593.79 ; 
FFC/BTC ; 1.8e-007 ; 184955 ; 
FLAP/BTC ; 1e-008 ; 913548 ; 
FLT/BTC ; 4.95e-006 ; 546143 ; 
FRC/BTC ; 9.17e-006 ; 75577.4 ; 
FRK/BTC ; 0.00045504 ; 1095.16 ; 
FST/BTC ; 2.29e-006 ; 492175 ; 
FTC/BTC ; 8.914e-005 ; 186491 ; 
GDC/BTC ; 2.1e-007 ; 1.64275e+006 ; 
GLC/BTC ; 1.3e-006 ; 307656 ; 
GLD/BTC ; 1.632e-005 ; 39272.9 ; 
GLX/BTC ; 7.9e-007 ; 378319 ; 
HBN/BTC ; 0.00017892 ; 21881.7 ; 
HVC/BTC ; 2.5e-006 ; 51862 ; 
IFC/BTC ; 2e-008 ; 2.42981e+007 ; 
IXC/BTC ; 0.000113 ; 15326.6 ; 
JKC/BTC ; 2.44e-006 ; 70763.5 ; 
KDC/BTC ; 1.42e-005 ; 13391.4 ; 
KGC/BTC ; 9e-007 ; 60680.8 ; 
LEAF/BTC ; 1e-008 ; 4.14659e+006 ; 
LGD/BTC ; 6.421e-005 ; 3232.74 ; 
LK7/BTC ; 3.5e-007 ; 129576 ; 
LKY/BTC ; 4.21e-006 ; 228550 ; 
LOT/BTC ; 1e-008 ; 1.1395e+008 ; 
LTB/BTC ; 0.0001336 ; 762.175 ; 
LTC/BTC ; 0.0182897 ; 13176 ; 
LYC/BTC ; 1e-007 ; 1.93323e+006 ; 
MAX/BTC ; 9.846e-005 ; 76234.7 ; 
MEC/BTC ; 0.00013452 ; 133773 ; 
MEOW/BTC ; 1e-008 ; 2.59004e+007 ; 
MINT/BTC ; 4e-008 ; 6.67168e+006 ; 
MN1/BTC ; 0.01 ; 686.614 ; 
MN2/BTC ; 0.106857 ; 214.717 ; 
MNC/BTC ; 0.00010006 ; 3392.84 ; 
MRY/BTC ; 2.79e-006 ; 48412.4 ; 
MYR/BTC ; 2.54e-006 ; 3.25859e+006 ; 
MZC/BTC ; 4.5e-007 ; 7.84445e+006 ; 
NAN/BTC ; 9.5e-007 ; 41764 ; 
NAUT/BTC ; 0.000104 ; 20664.9 ; 
NBL/BTC ; 1.325e-005 ; 4732.69 ; 
NEC/BTC ; 9.77e-006 ; 3007.4 ; 
NET/BTC ; 1.5e-006 ; 546172 ; 
NMC/BTC ; 0.00363875 ; 2144.58 ; 
NRB/BTC ; 2.001e-005 ; 18517.1 ; 
NRS/BTC ; 0.00023522 ; 4216.09 ; 
NVC/BTC ; 0.00380006 ; 513.016 ; 
NXT/BTC ; 9.33e-005 ; 766242 ; 
NYAN/BTC ; 2.4e-007 ; 248226 ; 
